,Title,Is_Movie,Is_TV,Release_Date,Tomatometer,number,rating,avg_rating_by_set
0,Episode IV,Y,N,1977,93%,49,4.0,0.08
1,Episode V,Y,N,1980,94%,43,4.03,0.09
2,Episode VI,Y,N,1983,83%,41,3.93,0.1
3,Episode I,Y,N,1999,51%,40,3.86,0.1
4,Episode II,Y,N,2002,66%,20,4.08,0.2
5,Episode III,Y,N,2005,79%,48,4.02,0.08
6,Episode VII,Y,N,2015,93%,26,3.79,0.15
7,Episode VIII,Y,N,2017,91%,17,3.79,0.22
8,Episode IX,Y,N,2019,52%,11,3.96,0.36
9,Rogue One,Y,N,2016,84%,12,4.12,0.34
10,Solo,Y,N,2018,69%,12,3.89,0.32
11,The Bad Batch,N,Y,2021,85%,1,4.1,4.1
12,Resistance,N,Y,2018,92%,2,4.0,2.0
13,Rebels,N,Y,2014,98%,17,3.92,0.23
14,The Clone Wars,N,Y,2008,93%,78,3.93,0.05
15,The Mandalorian,N,Y,2019,93%,10,4.18,0.42
16,The Book of Boba Fett,N,Y,2021,66%,2,3.95,1.98
